task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_active_params,n_deterministic_nonzero_params,n_inactive_zero_params,operationally_resolvable_fraction,deterministic_nonzero_labels,inactive_zero_labels,n_circuit_theta_params,n_residual_alpha_params,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),0,3,mean,6.946875183013695,6.834149344794212,3.8673998574748136,0.966367709443014,13.06516809316529,12,12,0,0,1.0,,,12,0,0.26235726266698384
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),1,3,mean,9.886473132275361,7.045127286064259,10.23096456848853,2.2343023780757343,39.1983357444595,12,12,0,0,1.0,,,12,0,0.4033784866254913
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),2,3,mean,12.874208220563213,15.044970082759622,7.215293633095896,0.9403722363742285,22.411970973314855,12,12,0,0,1.0,,,12,0,0.5170476266973036
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),3,3,mean,6.749950244535978,6.945258828134307,3.3643585739941457,0.7719040020327282,12.859950272749442,12,12,0,0,1.0,,,12,0,0.2805667984297356
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),4,3,mean,12.74571391310405,14.359762652306655,6.635572082052133,0.3844754980763431,20.55346500104414,12,12,0,0,1.0,,,12,0,0.5135650974679643
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),5,3,mean,10.336957607138267,4.452504841980842,10.883502157325825,0.16906241487172655,37.29888680165088,12,12,0,0,1.0,,,12,0,0.4176409361428118
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),6,3,mean,15.778903841182272,4.145613678511857,22.613053409791874,0.17450482982411053,77.956772471689,12,12,0,0,1.0,,,12,0,0.580601876236465
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),7,3,mean,12.34517105530005,9.312041580796597,7.74148817867353,5.156914761816693,29.729504157838445,12,12,0,0,1.0,,,12,0,0.35602801104040593
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),8,3,mean,11.026922182957042,8.302408351203589,10.627546993840571,0.9434856777752766,42.74358103730994,12,12,0,0,1.0,,,12,0,0.43778567370403976
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),9,3,mean,13.632057243162018,14.082038795601232,7.994840233960033,0.27594960584427675,25.411457149695202,12,12,0,0,1.0,,,12,0,0.6135449770621056
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),10,3,mean,11.590737614560355,9.626636925787754,9.872993144686223,0.9873274552839993,33.91306807658877,12,12,0,0,1.0,,,12,0,0.39573091988021303
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),11,3,mean,11.925195646250542,11.258345710924328,9.414143540790485,0.5760924010648876,36.07872285493388,12,12,0,0,1.0,,,12,0,0.5457284781681365
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),12,3,mean,14.261427921821214,11.278456855636994,10.737068126669481,1.727725367330755,34.80665212519095,12,12,0,0,1.0,,,12,0,0.6253611558241396
