n_qubits,config_name,config_label,seed,L,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_active_params,n_deterministic_nonzero_params,n_inactive_zero_params,operationally_resolvable_fraction,deterministic_nonzero_labels,inactive_zero_labels,n_circuit_theta_params,n_residual_alpha_params,mean_abs_grad
4,local_cost_only,Local cost only,0,1,89.46554779594264,6.254609890944735e-16,154.95887430955443,0.0,357.86219118377056,4,4,0,0,1.0,,,4,0,0.24807044289459038
4,local_cost_only,Local cost only,1,1,3.596733881325207,4.053185896759427e-15,6.2297258237596616,0.0,14.386935525300819,4,4,0,0,1.0,,,4,0,0.07656119829194401
4,local_cost_only,Local cost only,2,1,35.55293116945218,6.505979010033016e-16,61.57948314349035,0.0,142.21172467780872,4,4,0,0,1.0,,,4,0,0.2384858363955392
4,local_cost_only,Local cost only,3,1,134.6019075877015,3.1138541961596383e-16,233.1373427375898,0.0,538.407630350806,4,4,0,0,1.0,,,4,0,0.24914201950963794
4,local_cost_only,Local cost only,4,1,0.797085962938304,3.490968990088125e-14,1.3805933858090655,0.0,3.1883438517531464,4,4,0,0,1.0,,,4,0,0.0177782598491698
4,local_cost_only,Local cost only,5,1,29.341886168428225,2.6566468752236145e-15,50.82163763362017,0.0,117.3675446737129,4,4,0,0,1.0,,,4,0,0.23361536834268892
4,local_cost_only,Local cost only,6,1,16.842101149053594,0.0,29.171374896374996,0.0,67.36840459621438,4,4,0,0,1.0,,,4,0,0.20828459151649834
4,local_cost_only,Local cost only,7,1,8.425917941632477,4.124788776299666e-15,14.594117975313615,0.0,33.703671766529894,4,4,0,0,1.0,,,4,0,0.15046431998600096
4,local_cost_only,Local cost only,8,1,0.8956870238474294,3.108731135382991e-14,1.5513754329838683,0.0,3.5827480953896553,4,4,0,0,1.0,,,4,0,0.019964207623100586
4,local_cost_only,Local cost only,9,1,47.465627340857246,9.564271613224645e-16,82.21287816749516,0.0,189.86250936342898,4,4,0,0,1.0,,,4,0,0.24334061837508092
4,local_cost_only,Local cost only,10,1,41.05263552093029,1.2864761334105443e-15,71.10525050685807,0.0,164.21054208372115,4,4,0,0,1.0,,,4,0,0.24121455586839086
4,local_cost_only,Local cost only,11,1,0.05072917381154161,2.73569025861197e-13,0.0878655064672667,0.0,0.20291669524561928,4,4,0,0,1.0,,,4,0,0.0011343271343746825
4,local_cost_only,Local cost only,12,1,3.8866118371563068,0.0,6.73180917125334,0.0,15.546447348625227,4,4,0,0,1.0,,,4,0,0.0820886655278362
4,local_cost_only,Local cost only,13,1,14.357174731355421,1.5732382946994117e-15,24.867356087851636,0.0,57.428698925421685,4,4,0,0,1.0,,,4,0,0.19724714952682937
4,local_cost_only,Local cost only,14,1,13.352203514682442,0.0,23.126694880429724,0.0,53.40881405872977,4,4,0,0,1.0,,,4,0,0.1916770460056914
4,local_cost_only,Local cost only,15,1,25.47658023437783,1.3555337494775434e-15,44.12673136904741,0.0,101.90632093751132,4,4,0,0,1.0,,,4,0,0.22892588935945934
4,local_cost_only,Local cost only,16,1,5.197358213326446,5.889145422426673e-15,9.0020884906168,0.0,20.78943285330577,4,4,0,0,1.0,,,4,0,0.10538600998853932
4,local_cost_only,Local cost only,17,1,17.85780493317882,1.464469461116972e-15,30.930625455919856,0.0,71.43121973271528,4,4,0,0,1.0,,,4,0,0.21189705719040808
4,local_cost_only,Local cost only,18,1,53.84244579722404,3.1693631415984223e-16,93.2578517245654,0.0,215.36978318889615,4,4,0,0,1.0,,,4,0,0.24477848963010063
4,local_cost_only,Local cost only,19,1,5.619955857469722,2.763795403001747e-15,9.734049081431872,0.0,22.47982342987888,4,4,0,0,1.0,,,4,0,0.11227921170245649
4,local_cost_only,Local cost only,20,1,2.7849157639208855,0.0,4.823615597910466,0.0,11.139663055683542,4,4,0,0,1.0,,,4,0,0.060426215105414835
4,local_cost_only,Local cost only,21,1,8.768060047014744,2.0114403643554475e-15,15.186725485244292,0.0,35.07224018805897,4,4,0,0,1.0,,,4,0,0.15427589833385286
4,local_cost_only,Local cost only,22,1,33.898159839538906,6.535192126492453e-16,58.71333512517225,0.0,135.59263935815562,4,4,0,0,1.0,,,4,0,0.23741977523349517
4,local_cost_only,Local cost only,23,1,13.76965664218641,4.7967282661857625e-15,23.84974490704512,0.0,55.078626568745634,4,4,0,0,1.0,,,4,0,0.19408026800901018
4,local_cost_only,Local cost only,24,1,7.579955902859005,0.0,13.128868742883421,0.0,30.31982361143602,4,4,0,0,1.0,,,4,0,0.14029039323285414
4,local_cost_only,Local cost only,25,1,0.02191992074435455,0.0,0.03796641642710508,0.0,0.0876796829774182,4,4,0,0,1.0,,,4,0,0.0004901433864366381
4,local_cost_only,Local cost only,26,1,113.6954937417697,2.4945082463996916e-15,196.92637175237442,0.0,454.7819749670788,4,4,0,0,1.0,,,4,0,0.2487999545431749
4,local_cost_only,Local cost only,27,1,26.37360137249936,0.0,45.68041755573716,0.0,105.49440548999743,4,4,0,0,1.0,,,4,0,0.23017198472252914
4,local_cost_only,Local cost only,28,1,9.87016798036023,1.8755464368892885e-15,17.09563242122341,0.0,39.480671921440916,4,4,0,0,1.0,,,4,0,0.16545405810937375
4,local_cost_only,Local cost only,29,1,0.4443635226687213,1.2502146505773474e-13,0.7696601982923655,0.0,1.7774540906746352,4,4,0,0,1.0,,,4,0,0.009928431698112437
4,local_cost_only,Local cost only,30,1,5.337894665669401,0.0,9.245504766390287,0.0,21.351578662677603,4,4,0,0,1.0,,,4,0,0.10771236259433373
4,local_cost_only,Local cost only,31,1,5.063200216383053,1.2035510295063844e-14,8.769720023669164,6.017755147531925e-15,20.252800865532183,4,4,0,0,1.0,,,4,0,0.10313373061819595
4,local_cost_only,Local cost only,32,1,5.453648602956428,8.493835381232042e-15,9.44599646694755,0.0,21.814594411825695,4,4,0,0,1.0,,,4,0,0.10960305511980532
4,local_cost_only,Local cost only,33,1,5.1321790869697255,5.950716158989873e-15,8.889194932174009,0.0,20.528716347878888,4,4,0,0,1.0,,,4,0,0.10429560438271177
4,local_cost_only,Local cost only,34,1,11.584178606176806,1.7250901210041807e-15,20.06438590985065,0.0,46.336714424707225,4,4,0,0,1.0,,,4,0,0.17988438133033474
4,local_cost_only,Local cost only,35,1,2.9835523404523827,1.444261013957484e-14,5.167664240704542,9.628406759716548e-15,11.934209361809494,4,4,0,0,1.0,,,4,0,0.06445859151987976
4,local_cost_only,Local cost only,36,1,8.31378372479686,4.16035635725842e-15,14.399895814487381,0.0,33.255134899187425,4,4,0,0,1.0,,,4,0,0.1491779753984348
4,local_cost_only,Local cost only,37,1,18.032561930166874,2.920973798126796e-15,31.233313453681326,0.0,72.1302477206675,4,4,0,0,1.0,,,4,0,0.21247487351986072
4,local_cost_only,Local cost only,38,1,6736.573129945328,2.3273789739655223e-15,11668.086929968606,0.0,26946.292519781313,4,4,0,0,1.0,,,4,0,0.24999965569679025
4,local_cost_only,Local cost only,39,1,2.820912151970076,1.014757254145152e-14,4.885963170900618,0.0,11.283648607880284,4,4,0,0,1.0,,,4,0,0.06116078853111026
4,local_cost_only,Local cost only,40,1,30.110284767473324,1.3240738144839169e-15,52.15254304763103,0.0,120.4411390698933,4,4,0,0,1.0,,,4,0,0.234365158317749
4,local_cost_only,Local cost only,41,1,98.81002458564905,9.36890781105952e-16,171.14398287947404,0.0,395.2400983425962,4,4,0,0,1.0,,,4,0,0.2484148436087683
4,local_cost_only,Local cost only,42,1,4.518004404859417,0.0,7.825413178036497,0.0,18.072017619437666,4,4,0,0,1.0,,,4,0,0.0936668664525788
4,local_cost_only,Local cost only,43,1,3.155102482317834,0.0,5.464797802461174,0.0,12.620409929271336,4,4,0,0,1.0,,,4,0,0.06789839642013354
4,local_cost_only,Local cost only,44,1,219.13575931366336,1.2428815704919876e-15,379.55426888644973,6.214407852459939e-16,876.5430372546534,4,4,0,0,1.0,,,4,0,0.24967525186898698
4,local_cost_only,Local cost only,45,1,2.0231075948690176,2.0913118454074903e-14,3.5041251434915863,0.0,8.092430379476028,4,4,0,0,1.0,,,4,0,0.04451513577528352
