configuration_id,E,L,R,depth,normalized_prepared_state_energy_original,prepared_state_energy_original,prepared_state_fidelity_original,prepared_state_infidelity_original,normalized_prepared_state_energy_seed,prepared_state_energy_seed,prepared_state_fidelity_seed,prepared_state_infidelity_seed
5,1,1,0,2,0.4663559467181039,-0.2305986349721952,0.0788247970970145,0.9211752029029856,0.5038799998508169,0.0265937835074151,0.0490429542944434,0.9509570457055564
5,1,1,0,3,0.5088378350436215,0.0605751239332741,0.061899711181228,0.9381002888187718,0.5098353372004639,0.0674120717237908,0.0380663697447436,0.9619336302552562
5,1,1,0,4,0.5274080068606805,0.1878563476411562,0.0539820691646284,0.9460179308353714,0.5127603105292315,0.0874600383374577,0.0641271114292778,0.935872888570722
5,1,1,0,6,0.4837019029249434,-0.1117082685211037,0.0554378895156447,0.9445621104843552,0.4914931400789049,-0.0583065978783177,0.0604080575602153,0.9395919424397846
6,1,0,1,1,0.522026690220705,0.1509724365043476,0.0337853686607316,0.9662146313392684,0.4836509864500363,-0.1120572535114913,0.063808367660262,0.936191632339738
6,1,0,1,2,0.4663559467181039,-0.2305986349721952,0.0788247970970145,0.9211752029029856,0.5038799998508169,0.0265937835074151,0.0490429542944434,0.9509570457055564
6,1,0,1,3,0.4750409200691556,-0.1710712355015709,0.0700757715795243,0.9299242284204756,0.486781816234334,-0.090598332716777,0.0584174298493873,0.9415825701506126
6,1,0,1,4,0.5529276297711349,0.3627695829415697,0.0517408808164286,0.9482591191835712,0.5257250362304574,0.1763211522003452,0.0528348457528884,0.9471651542471116
6,1,0,1,6,0.4894283535174413,-0.0724587857432277,0.0524220697554013,0.9475779302445988,0.4660626208288766,-0.2326091106152783,0.069717693563434,0.9302823064365658
7,0,1,1,1,0.5196022924551632,0.134355448929179,0.0467208321185198,0.95327916788148,0.4850240423541658,-0.1026462347326346,0.0468440259152431,0.9531559740847568
7,0,1,1,2,0.4801135952760086,-0.1363027737898823,0.0817185084866797,0.9182814915133204,0.5213527216569093,0.1463530100183872,0.0634675878311799,0.93653241216882
7,0,1,1,3,0.4806488119894113,-0.1326343619463139,0.0745567308561652,0.9254432691438348,0.5537071832731149,0.3681126957923962,0.0321700608090812,0.9678299391909186
7,0,1,1,4,0.4774153602603225,-0.1547966605471661,0.0654903965506435,0.9345096034493564,0.4560893153289072,-0.300966826470258,0.0882993391168247,0.9117006608831754
7,0,1,1,6,0.5439479633780174,0.3012223372690981,0.044739556316205,0.9552604436837951,0.4868357119960332,-0.0902289274915956,0.0789046547943988,0.9210953452056012
8,1,1,1,1,0.522026690220705,0.1509724365043476,0.0337853686607316,0.9662146313392684,0.4836509864500363,-0.1120572535114913,0.063808367660262,0.936191632339738
8,1,1,1,2,0.4663559467181039,-0.2305986349721952,0.0788247970970145,0.9211752029029856,0.5038799998508169,0.0265937835074151,0.0490429542944434,0.9509570457055564
8,1,1,1,3,0.4750409200691556,-0.1710712355015709,0.0700757715795243,0.9299242284204756,0.486781816234334,-0.090598332716777,0.0584174298493873,0.9415825701506126
8,1,1,1,4,0.5529276297711349,0.3627695829415697,0.0517408808164286,0.9482591191835712,0.5257250362304574,0.1763211522003452,0.0528348457528884,0.9471651542471116
8,1,1,1,6,0.4894283535174413,-0.0724587857432277,0.0524220697554013,0.9475779302445988,0.4660626208288766,-0.2326091106152783,0.069717693563434,0.9302823064365658
